Service PCN,NSN,COVID Critical Status,COVID Core Status,FSC,NIIN,Description,LoB,Sub-LoB,CITS Channel,Oracle Channel,NPA Code,NPA Name,CITS Customer,Oracle Customer,Contract Number,Prime/Non-Prime,Sales,Quantity,FY,Month,FYP,MONTHP,OP Description,OP Grouping,JS Grouping,Textile Grouping,Textile PGC,WI Category,WI Sub-Category,WI Point Size,WI Color,Marketing Main Category,Marketing Sub Category
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,4670.2,,2016,Apr,2016,Apr,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",KSW-Wichita (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,49.16,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Embassy Products & Logistics,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,2458.0,,2016,Dec,2016,Dec,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1846,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1846,First Aid Kit - 8 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Amron International Inc.,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,491.6,,2016,Mar,2016,Mar,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",WIM - Milwaukee-Industries (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,446.02,,2016,May,2016,May,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",WIM - Milwaukee-Industries (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",WIM - Milwaukee-Industries (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,446.02,,2016,Feb,2016,Feb,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Stephens Office Supply,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,218.64,,2016,Sep,2016,Sep,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Premier and Companies (Premier Supply),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,892.04,,2016,Oct,2016,Oct,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",MDB-Baltimore (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,446.02,,2016,Jul,2016,Jul,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC","MBA Office Supply, Inc.",Oracle Customer N/A,NON-Contract Data,NON-Contract Data,1338.06,,2016,May,2016,May,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC","MBA Office Supply, Inc.",Oracle Customer N/A,NON-Contract Data,NON-Contract Data,446.02,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC","MBA Office Supply, Inc.",Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,Jul,2016,Jul,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,5028.719999999999,,2016,Sep,2016,Sep,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,5575.25,,2016,Nov,2016,Nov,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,892.04,,2016,May,2016,May,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,1115.05,,2016,Mar,2016,Mar,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,2230.1,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,5129.23,,2016,Jul,2016,Jul,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,5798.26,,2016,Jan,2016,Jan,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,1338.06,,2016,Dec,2016,Dec,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,-96.14,,2016,Aug,2016,Sep,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,4906.219999999999,,2016,Aug,2016,Aug,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Wholesalers,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",LC Industries,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,669.03,,2016,Apr,2016,Apr,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",KSW-Wichita (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,Jan,2016,Jan,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",KSW-Wichita (BSC Operator),Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,Dec,2016,Dec,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Embassy Products & Logistics,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,2623.68,,2016,Sep,2016,Sep,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Embassy Products & Logistics,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,May,2016,May,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Embassy Products & Logistics,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,Mar,2016,Mar,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Embassy Products & Logistics,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,446.02,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",Embassy Products & Logistics,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,446.02,,2016,Feb,2016,Feb,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC","Caprice Electronics, Inc.",Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,May,2016,May,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC","Caprice Electronics, Inc.",Oracle Customer N/A,NON-Contract Data,NON-Contract Data,-88.71000000000001,,2016,Aug,2016,Sep,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC","Caprice Electronics, Inc.",Oracle Customer N/A,NON-Contract Data,NON-Contract Data,744.63,,2016,Aug,2016,Aug,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1823,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1823,First Aid Kit - 50 Person,Commodity,C-Medical,BSC Stock,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC","Beacon Lighthouse, Inc.",Oracle Customer N/A,NON-Contract Data,NON-Contract Data,223.01,,2016,Feb,2016,Feb,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1800,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1800,First Aid Kit - 15 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",WECsys,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,570.42,,2016,Jun,2016,Jun,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1800,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1800,First Aid Kit - 15 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",WECsys,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,95.07,,2016,Apr,2016,Apr,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1800,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1800,First Aid Kit - 15 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",MSC Industrial Supply Co.,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,285.21,,2016,Oct,2016,Oct,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
,6545-01-465-1800,COVID-19 Critical,Non COVID-19 Core,6545,01-465-1800,First Aid Kit - 15 Person,Commodity,C-Medical,Commercial Distributors,Oracle Channel N/A,OKO,"NEWVIEW OKLAHOMA, INC",MSC Industrial Supply Co.,Oracle Customer N/A,NON-Contract Data,NON-Contract Data,855.6299999999999,,2016,May,2016,May,NON OP Product,NON OP Group,First Aid,NON Textile Product,NON Textile Product,NON WI Product,NON WI Product,NON WI Product,NON WI Product,Safety Supplies,First Aid Kits
